ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
255	"MYL6"	"MYL6"	chr12	+	56158683	56159730	56158683	56158711	56159622	56159730
256	"MYL6"	"MYL6"	chr12	+	56159586	56160148	56159586	56159622	56159974	56160148
257	"MYL6"	"MYL6"	chr12	+	56159586	56160148	56159586	56159730	56159974	56160148
258	"MYL6"	"MYL6"	chr12	+	56159586	56160148	56159586	56159622	56160024	56160148
273	"SKIL"	"SKIL"	chr3	+	170359698	170361429	170359698	170359876	170360367	170361429
274	"FXYD5"	"FXYD5"	chr19	+	35166141	35166325	35166141	35166171	35166250	35166325
284	"LLGL2"	"LLGL2"	chr17	+	75574452	75574668	75574452	75574495	75574609	75574668
289	"KLHL21"	"KLHL21"	chr1	-	6590723	6595557	6590723	6593658	6595484	6595557
296	"PLCG2"	"PLCG2"	chr16	+	81956694	81956879	81956694	81956847	81956848	81956879
299	"CPNE1"	"CPNE1"	chr20	-	35630438	35631034	35630438	35630490	35630900	35631034
300	"CPNE1"	"CPNE1"	chr20	-	35632162	35632385	35632162	35632234	35632310	35632385
301	"CPNE1"	"CPNE1"	chr20	-	35632162	35632385	35632162	35632248	35632310	35632385
305	"SLU7"	"SLU7"	chr5	-	160418595	160419081	160418595	160418685	160419022	160419081
318	"SGSM3"	"SGSM3"	chr22	+	40407016	40407328	40407016	40407071	40407200	40407328
319	"SGSM3"	"SGSM3"	chr22	+	40407016	40407568	40407016	40407328	40407412	40407568
334	"SLC44A1"	"SLC44A1"	chr9	+	105389032	105397346	105389032	105389108	105389186	105397346
336	"SETD6"	"SETD6"	chr16	+	58515790	58516097	58515790	58515880	58515952	58516097
360	"QTRT1"	"QTRT1"	chr19	+	10701949	10702254	10701949	10702018	10702115	10702254
361	"QTRT1"	"QTRT1"	chr19	+	10701949	10702254	10701949	10702018	10702160	10702254
362	"QTRT1"	"QTRT1"	chr19	+	10712160	10712628	10712160	10712299	10712552	10712628
363	"KLK11"	"KLK11"	chr19	-	51023091	51024310	51023091	51023228	51024044	51024310
364	"POLR1C"	"POLR1C"	chr6	+	43519705	43520185	43519705	43519838	43520065	43520185
366	"DHX8"	"DHX8"	chr17	+	43517166	43520267	43517166	43517322	43520129	43520267
367	"YBX3"	"YBX3"	chr12	-	10701959	10704148	10701959	10702134	10704050	10704148
368	"YBX3"	"YBX3"	chr12	-	10701959	10704148	10701959	10702134	10704059	10704148
372	"DDX52"	"DDX52"	chr17	-	37619767	37621277	37619767	37619839	37621126	37621277
380	"PRPF40B"	"PRPF40B"	chr12	+	49631859	49632880	49631859	49631925	49632854	49632880
381	"PRPF40B"	"PRPF40B"	chr12	+	49633013	49633547	49633013	49633124	49633426	49633547
392	"CSNK1G2"	"CSNK1G2"	chr19	+	1978304	1978511	1978304	1978345	1978441	1978511
399	"NIT2"	"NIT2"	chr3	+	100345584	100346255	100345584	100345678	100346180	100346255
400	"ITGB6"	"ITGB6"	chr2	-	160200002	160200304	160200002	160200078	160200185	160200304
403	"PITPNM1"	"PITPNM1"	chr11	-	67496177	67497436	67496177	67496345	67497230	67497436
404	"PITPNM1"	"PITPNM1"	chr11	-	67496177	67497436	67496177	67496348	67497230	67497436
416	"LPO"	"LPO"	chr17	+	58249059	58249695	58249059	58249177	58249565	58249695
425	"C1orf159"	"C1orf159"	chr1	-	1090352	1091374	1090352	1090428	1091277	1091374
450	"RPL10"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594
451	"RPL10"	"RPL10"	chrX	+	154399802	154400626	154399802	154399941	154400463	154400626
456	"MROH7-TTC4"	"MROH7-TTC4"	chr1	+	54731485	54731700	54731485	54731549	54731654	54731700
459	"DDX55"	"DDX55"	chr12	+	123607431	123607662	123607431	123607523	123607599	123607662
460	"DDX55"	"DDX55"	chr12	+	123607431	123607662	123607431	123607523	123607603	123607662
461	"DDX55"	"DDX55"	chr12	+	123607431	123608829	123607431	123607662	123608679	123608829
466	"GUK1"	"GUK1"	chr1	+	228145509	228146067	228145509	228145649	228146025	228146067
472	"AFTPH"	"AFTPH"	chr2	+	64579485	64581273	64579485	64579546	64581189	64581273
487	"REXO2"	"REXO2"	chr11	+	114444154	114444652	114444154	114444212	114444540	114444652
488	"OTUB1"	"OTUB1"	chr11	+	63996529	63996941	63996529	63996648	63996853	63996941
489	"OTUB1"	"OTUB1"	chr11	+	63996529	63996941	63996529	63996648	63996856	63996941
490	"CASP2"	"CASP2"	chr7	+	143300203	143303933	143300203	143300294	143303783	143303933
491	"ZCCHC17"	"ZCCHC17"	chr1	+	31337174	31337275	31337174	31337192	31337194	31337275
501	"RPS16"	"RPS16"	chr19	-	39433664	39435708	39433664	39433761	39435606	39435708
502	"RPS16"	"RPS16"	chr19	-	39433664	39435708	39433664	39433761	39435657	39435708
505	"UBA52"	"UBA52"	chr19	+	18574869	18575241	18574869	18574972	18575056	18575241
506	"UBA52"	"UBA52"	chr19	+	18574869	18575241	18574869	18574972	18575102	18575241
516	"WDR41"	"WDR41"	chr5	-	77451290	77451353	77451290	77451314	77451315	77451353
522	"MGAT4B"	"MGAT4B"	chr5	-	179799505	179800068	179799505	179799636	179799953	179800068
526	"LAMP1"	"LAMP1"	chr13	+	113320344	113321470	113320344	113320470	113321403	113321470
528	"POLR3C"	"POLR3C"	chr1	+	145826453	145826709	145826453	145826492	145826605	145826709
533	"USP14"	"USP14"	chr18	+	209970	210493	209970	210031	210385	210493
534	"CD82"	"CD82"	chr11	+	44605057	44605429	44605057	44605182	44605354	44605429
546	"PLOD3"	"PLOD3"	chr7	-	101212841	101213204	101212841	101212943	101213106	101213204
556	"ANXA4"	"ANXA4"	chr2	+	69807905	69810673	69807905	69807996	69810593	69810673
557	"YIF1A"	"YIF1A"	chr11	-	66284579	66284966	66284579	66284783	66284868	66284966
558	"YIF1A"	"YIF1A"	chr11	-	66284579	66284966	66284579	66284783	66284872	66284966
559	"CCBL2"	"CCBL2"	chr1	-	88949090	88949277	88949090	88949219	88949223	88949277
560	"CDRT1"	"CDRT1"	chr17	-	15613614	15614033	15613614	15613742	15613832	15614033
595	"RPGR"	"RPGR"	chrX	-	38287093	38288041	38287093	38287245	38287860	38288041
597	"ZNF383"	"ZNF383"	chr19	+	37235548	37236074	37235548	37235675	37235978	37236074
598	"ZNF383"	"ZNF383"	chr19	+	37235548	37236074	37235548	37235758	37235978	37236074
602	"CDC16"	"CDC16"	chr13	+	114272183	114272675	114272183	114272481	114272563	114272675
603	"TMEM55B"	"TMEM55B"	chr14	-	20457857	20458702	20457857	20458346	20458588	20458702
609	"KMT2D"	"KMT2D"	chr12	-	49030279	49030768	49030279	49030439	49030600	49030768
619	"SPNS2"	"SPNS2"	chr17	+	4536075	4536426	4536075	4536174	4536262	4536426
630	"RP11-390P2.4"	"RP11-390P2.4"	chr6	+	138696596	138697288	138696596	138696755	138696902	138697288
638	"P2RX4"	"P2RX4"	chr12	+	121228724	121229099	121228724	121228866	121228962	121229099
644	"SFI1"	"SFI1"	chr22	+	31604868	31606430	31604868	31604945	31606327	31606430
649	"SELM"	"SELM"	chr22	-	31105929	31105965	31105929	31105950	31105953	31105965
650	"SELM"	"SELM"	chr22	-	31105929	31107533	31105929	31105965	31107376	31107533
666	"KDM3B"	"KDM3B"	chr5	+	138386021	138386621	138386021	138386190	138386288	138386621
690	"RHPN1"	"RHPN1"	chr8	+	143379828	143380175	143379828	143380035	143380036	143380175
691	"RHPN1"	"RHPN1"	chr8	+	143379828	143380175	143379828	143379985	143380061	143380175
698	"PLEKHG3"	"PLEKHG3"	chr14	+	64736852	64737375	64736852	64736891	64737355	64737375
706	"ZWINT"	"ZWINT"	chr10	-	56359686	56360383	56359686	56359853	56360017	56360383
707	"ZWINT"	"ZWINT"	chr10	-	56360017	56360383	56360017	56360141	56360292	56360383
709	"E2F5"	"E2F5"	chr8	+	85213752	85214518	85213752	85213902	85214159	85214518
715	"RP5-864K19.6"	"RP5-864K19.6"	chr1	-	38873594	38876193	38873594	38873909	38874777	38876193
720	"COL4A6"	"COL4A6"	chrX	-	108164876	108165038	108164876	108164921	108164957	108165038
721	"KLHDC4"	"KLHDC4"	chr16	-	87755193	87756477	87755193	87755292	87756398	87756477
722	"KLHDC4"	"KLHDC4"	chr16	-	87755193	87756477	87755193	87755254	87756421	87756477
723	"KLHDC4"	"KLHDC4"	chr16	-	87755193	87756477	87755193	87755292	87756421	87756477
734	"MCAM"	"MCAM"	chr11	-	119310755	119311185	119310755	119310903	119311089	119311185
735	"MCAM"	"MCAM"	chr11	-	119310755	119311421	119310755	119311185	119311279	119311421
741	"SPATS2L"	"SPATS2L"	chr2	+	200419249	200419496	200419249	200419337	200419339	200419496
748	"TMEM168"	"TMEM168"	chr7	-	112783697	112784953	112783697	112783756	112784854	112784953
749	"TMEM168"	"TMEM168"	chr7	-	112783697	112784953	112783697	112783783	112784854	112784953
753	"ARF1"	"ARF1"	chr1	+	228097077	228097452	228097077	228097262	228097341	228097452
755	"DPH7"	"DPH7"	chr9	-	137564892	137565154	137564892	137564958	137565084	137565154
757	"CERCAM"	"CERCAM"	chr9	+	128428929	128429036	128428929	128429031	128429032	128429036
761	"GPS1"	"GPS1"	chr17	+	82056285	82056550	82056285	82056391	82056469	82056550
794	"RPL31"	"RPL31"	chr2	+	101002292	101002808	101002292	101002315	101002701	101002808
802	"TKT"	"TKT"	chr3	-	53234982	53235174	53234982	53235116	53235148	53235174
804	"TMEM94"	"TMEM94"	chr17	+	75492928	75493593	75492928	75493102	75493490	75493593
807	"HMG20B"	"HMG20B"	chr19	+	3573691	3574586	3573691	3573800	3574340	3574586
808	"HMG20B"	"HMG20B"	chr19	+	3573691	3574586	3573691	3573800	3574369	3574586
809	"HMG20B"	"HMG20B"	chr19	+	3573691	3574586	3573691	3573800	3574382	3574586
820	"INO80E"	"INO80E"	chr16	+	29996243	29996617	29996243	29996391	29996546	29996617
825	"SELK"	"SELK"	chr3	-	53885825	53885912	53885825	53885830	53885833	53885912
830	"ADD1"	"ADD1"	chr4	+	2904763	2905015	2904763	2904777	2904919	2905015
848	"RHCE"	"RHCE"	chr1	-	25388975	25389113	25388975	25389007	25389008	25389113
851	"APEH"	"APEH"	chr3	+	49676055	49676515	49676055	49676219	49676377	49676515
852	"NPTX1"	"NPTX1"	chr17	-	80467147	80471034	80467147	80468917	80470526	80471034
858	"NAA25"	"NAA25"	chr12	-	112039228	112040578	112039228	112039339	112040480	112040578
864	"SIRT6"	"SIRT6"	chr19	-	4175027	4175937	4175027	4175760	4175841	4175937
866	"MRPS22"	"MRPS22"	chr3	+	139350178	139351060	139350178	139350322	139350976	139351060
867	"MRPS22"	"MRPS22"	chr3	+	139350178	139351060	139350178	139350322	139351030	139351060
868	"SF1"	"SF1"	chr11	-	64764605	64766155	64764605	64765518	64765950	64766155
869	"ADRBK1"	"ADRBK1"	chr11	+	67280731	67281184	67280731	67280783	67281092	67281184
876	"PYCR2"	"PYCR2"	chr1	-	225922203	225922383	225922203	225922305	225922306	225922383
877	"PYCR2"	"PYCR2"	chr1	-	225921857	225923771	225921857	225922079	225923700	225923771
878	"PTMA"	"PTMA"	chr2	+	231711347	231711419	231711347	231711370	231711371	231711419
879	"PTMA"	"PTMA"	chr2	+	231711347	231711983	231711347	231711419	231711886	231711983
880	"PTMA"	"PTMA"	chr2	+	231711347	231711983	231711347	231711419	231711889	231711983
886	"PCIF1"	"PCIF1"	chr20	+	45947262	45948023	45947262	45947438	45947523	45948023
887	"HSPA4"	"HSPA4"	chr5	+	133101758	133101878	133101758	133101809	133101810	133101878
900	"NXPE3"	"NXPE3"	chr3	+	101816794	101817001	101816794	101816904	101816905	101817001
913	"RIOK1"	"RIOK1"	chr6	+	7402602	7402897	7402602	7402715	7402816	7402897
943	"RPL12"	"RPL12"	chr9	-	127449609	127451405	127449609	127449708	127451280	127451405
945	"ZC3H14"	"ZC3H14"	chr14	+	88609266	88609803	88609266	88609403	88609678	88609803
946	"ZC3H14"	"ZC3H14"	chr14	+	88609266	88609803	88609266	88609403	88609711	88609803
947	"ZC3H14"	"ZC3H14"	chr14	+	88609266	88609803	88609266	88609403	88609714	88609803
948	"ZC3H14"	"ZC3H14"	chr14	+	88609266	88609803	88609266	88609403	88609726	88609803
952	"ANKRD52"	"ANKRD52"	chr12	-	56237806	56243392	56237806	56237968	56243237	56243392
953	"URM1"	"URM1"	chr9	+	128389260	128392016	128389260	128389309	128389665	128392016
954	"NOP16"	"NOP16"	chr5	-	176388234	176388598	176388234	176388343	176388432	176388598
964	"CUL9"	"CUL9"	chr6	+	43196068	43196862	43196068	43196265	43196644	43196862
967	"MTCH1"	"MTCH1"	chr6	-	36968140	36968974	36968140	36968949	36968950	36968974
974	"HSDL1"	"HSDL1"	chr16	-	84129985	84130431	84129985	84130171	84130336	84130431
988	"ISYNA1"	"ISYNA1"	chr19	-	18437598	18437988	18437598	18437760	18437859	18437988
989	"ISYNA1"	"ISYNA1"	chr19	-	18437859	18438162	18437859	18437988	18438092	18438162
1006	"CRTC2"	"CRTC2"	chr1	-	153954872	153955166	153954872	153954989	153955064	153955166
1021	"HARS2"	"HARS2"	chr5	+	140693490	140693665	140693490	140693508	140693590	140693665
1022	"TDRKH"	"TDRKH"	chr1	-	151774412	151774504	151774412	151774451	151774454	151774504
1027	"TGFBI"	"TGFBI"	chr5	+	136046334	136047015	136046334	136046495	136046850	136047015
1028	"TGFBI"	"TGFBI"	chr5	+	136046334	136047015	136046334	136046556	136046850	136047015
1038	"METTL10"	"METTL10"	chr10	-	124765391	124765608	124765391	124765447	124765449	124765608
1041	"STK25"	"STK25"	chr2	-	241508005	241508362	241508005	241508135	241508317	241508362
1068	"SNRPE"	"SNRPE"	chr1	+	203861602	203862222	203861602	203861743	203862181	203862222
1085	"FKTN"	"FKTN"	chr9	+	105635050	105641118	105635050	105635148	105640100	105641118
1087	"LRRC75A-AS1"	"LRRC75A-AS1"	chr17	+	16439326	16439703	16439326	16439414	16439527	16439703
1088	"LRRC75A-AS1"	"LRRC75A-AS1"	chr17	+	16439326	16439703	16439326	16439414	16439580	16439703
1089	"LRRC75A-AS1"	"LRRC75A-AS1"	chr17	+	16439326	16439703	16439326	16439414	16439659	16439703
1099	"KATNB1"	"KATNB1"	chr16	+	57736977	57737283	57736977	57737063	57737225	57737283
1104	"TUBA1B"	"TUBA1B"	chr12	-	49129499	49131395	49129499	49129722	49131297	49131395
1110	"ZSWIM8"	"ZSWIM8"	chr10	+	73791858	73792852	73791858	73792490	73792589	73792852
1115	"HNRNPLL"	"HNRNPLL"	chr2	-	38602437	38603036	38602437	38602600	38602856	38603036
1116	"ARL16"	"ARL16"	chr17	-	81682033	81682675	81682033	81682149	81682442	81682675
1117	"ARL16"	"ARL16"	chr17	-	81682033	81682675	81682033	81682149	81682490	81682675
1122	"ENOSF1"	"ENOSF1"	chr18	-	690548	691276	690548	690631	691203	691276
1131	"CLK1"	"CLK1"	chr2	-	200856890	200857884	200856890	200856985	200857717	200857884
1132	"CLK1"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466
1133	"CLK1"	"CLK1"	chr2	-	200859679	200861466	200859679	200859747	200861237	200861466
1134	"CEP128"	"CEP128"	chr14	-	80830164	80831294	80830164	80830283	80831142	80831294
1141	"CABIN1"	"CABIN1"	chr22	+	24168446	24168521	24168446	24168500	24168501	24168521
1143	"SLC52A3"	"SLC52A3"	chr20	-	760079	761824	760079	761238	761700	761824
1165	"TRABD"	"TRABD"	chr22	+	50197822	50198186	50197822	50197995	50198074	50198186
1169	"PHB2"	"PHB2"	chr12	-	6967675	6968021	6967675	6967779	6967891	6968021
1179	"DSN1"	"DSN1"	chr20	-	36770872	36771193	36770872	36770974	36771114	36771193
1180	"DSN1"	"DSN1"	chr20	-	36770872	36771473	36770872	36770977	36771424	36771473
1181	"DSN1"	"DSN1"	chr20	-	36770872	36771473	36770872	36771024	36771424	36771473
1182	"DSN1"	"DSN1"	chr20	-	36770872	36771473	36770872	36771193	36771424	36771473
1183	"ZC3H18"	"ZC3H18"	chr16	+	88622196	88623344	88622196	88622388	88623218	88623344
1187	"CDCA3"	"CDCA3"	chr12	-	6849322	6849858	6849322	6849413	6849564	6849858
1188	"CDCA3"	"CDCA3"	chr12	-	6849322	6849858	6849322	6849429	6849564	6849858
1199	"LPCAT4"	"LPCAT4"	chr15	-	34359588	34360209	34359588	34359745	34360110	34360209
1200	"LPCAT4"	"LPCAT4"	chr15	-	34364193	34364306	34364193	34364224	34364225	34364306
1209	"ABCC3"	"ABCC3"	chr17	+	50677743	50678219	50677743	50677943	50678092	50678219
1210	"CREB3"	"CREB3"	chr9	+	35732995	35733282	35732995	35733163	35733165	35733282
1211	"CREB3"	"CREB3"	chr9	+	35732995	35733282	35732995	35733143	35733214	35733282
1218	"BABAM1"	"BABAM1"	chr19	+	17268793	17269091	17268793	17268938	17269041	17269091
1221	"TBRG4"	"TBRG4"	chr7	-	45108826	45109287	45108826	45109083	45109222	45109287
1222	"TBC1D20"	"TBC1D20"	chr20	-	441587	442043	441587	441689	441856	442043
1224	"EFTUD2"	"EFTUD2"	chr17	-	44859904	44860543	44859904	44860045	44860431	44860543
1229	"SYNE4"	"SYNE4"	chr19	-	36005332	36006671	36005332	36005437	36006422	36006671
1230	"SYNE4"	"SYNE4"	chr19	-	36005332	36006671	36005332	36005437	36006601	36006671
1240	"EGLN2"	"EGLN2"	chr19	+	40807808	40808432	40807808	40807913	40808160	40808432
1257	"RP11-864I4.1"	"RP11-864I4.1"	chr11	-	62572583	62574908	62572583	62572742	62574676	62574908
1263	"ILK"	"ILK"	chr11	+	6608883	6609408	6608883	6608967	6609298	6609408
1281	"CIRBP"	"CIRBP"	chr19	+	1271139	1271365	1271139	1271246	1271328	1271365
1285	"CIRBP"	"CIRBP"	chr19	+	1271980	1273172	1271980	1272051	1272426	1273172
1286	"CIRBP"	"CIRBP"	chr19	+	1271980	1274440	1271980	1272051	1274306	1274440
1302	"HERPUD1"	"HERPUD1"	chr16	+	56939894	56940245	56939894	56940088	56940176	56940245
1335	"PDLIM2"	"PDLIM2"	chr8	+	22585016	22585162	22585016	22585088	22585089	22585162
1342	"GAPVD1"	"GAPVD1"	chr9	+	125331925	125332060	125331925	125331972	125331973	125332060
1377	"NAGS"	"NAGS"	chr17	+	44006528	44007494	44006528	44006709	44007322	44007494
1390	"NDUFS7"	"NDUFS7"	chr19	+	1390870	1391165	1390870	1391050	1391118	1391165
1397	"WWC1"	"WWC1"	chr5	+	168467839	168467888	168467839	168467878	168467879	168467888
1399	"TAPBPL"	"TAPBPL"	chr12	+	6457405	6457744	6457405	6457543	6457668	6457744
1405	"SLC13A2"	"SLC13A2"	chr17	+	28493570	28494105	28493570	28493789	28494016	28494105
1412	"MAN2B1"	"MAN2B1"	chr19	-	12655693	12656687	12655693	12655862	12656570	12656687
1413	"MAN2B1"	"MAN2B1"	chr19	-	12655693	12656687	12655693	12655879	12656570	12656687
1438	"JMJD7-PLA2G4B"	"JMJD7-PLA2G4B"	chr15	+	41845202	41845775	41845202	41845320	41845637	41845775
1439	"JMJD7-PLA2G4B"	"JMJD7-PLA2G4B"	chr15	+	41845942	41846382	41845942	41846047	41846202	41846382
1440	"AL136419.6"	"AL136419.6"	chr14	-	24215551	24215797	24215551	24215662	24215736	24215797
1460	"MSH2"	"MSH2"	chr2	+	47416295	47416429	47416295	47416370	47416372	47416429
1461	"MSH2"	"MSH2"	chr2	+	47429741	47429941	47429741	47429802	47429803	47429941
1462	"MSH2"	"MSH2"	chr2	+	47463030	47463154	47463030	47463090	47463092	47463154
1466	"ZMYM5"	"ZMYM5"	chr13	-	19851354	19852190	19851354	19851448	19851688	19852190
1474	"GCDH"	"GCDH"	chr19	+	12891486	12891974	12891486	12891522	12891830	12891974
1475	"GCDH"	"GCDH"	chr19	+	12891486	12891974	12891486	12891660	12891830	12891974
1478	"ARHGAP26"	"ARHGAP26"	chr5	+	143207197	143207473	143207197	143207308	143207443	143207473
1482	"CIZ1"	"CIZ1"	chr9	-	128178708	128179415	128178708	128178904	128178988	128179415
1483	"CIZ1"	"CIZ1"	chr9	-	128178708	128179415	128178708	128178904	128179072	128179415
1484	"CIZ1"	"CIZ1"	chr9	-	128178708	128179415	128178708	128178904	128179243	128179415
1491	"CYBA"	"CYBA"	chr16	-	88646115	88646838	88646115	88646197	88646754	88646838
1525	"LGI4"	"LGI4"	chr19	-	35126269	35127017	35126269	35126775	35126852	35127017
1532	"IDH3B"	"IDH3B"	chr20	-	2658394	2658837	2658394	2658522	2658637	2658837
1533	"IDH3B"	"IDH3B"	chr20	-	2658394	2658837	2658394	2658522	2658758	2658837
1536	"IDH3B"	"IDH3B"	chr20	-	2660456	2660829	2660456	2660590	2660696	2660829
1542	"NR2C1"	"NR2C1"	chr12	-	95057730	95058489	95057730	95057878	95058309	95058489
1543	"TSEN54"	"TSEN54"	chr17	+	75516745	75517072	75516745	75516910	75517008	75517072
1557	"OGT"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71547906	71548023
1582	"MAF1"	"MAF1"	chr8	+	144106342	144106674	144106342	144106464	144106554	144106674
1584	"PYCR1"	"PYCR1"	chr17	-	81936747	81937257	81936747	81936861	81937227	81937257
1588	"TXNRD2"	"TXNRD2"	chr22	-	19875521	19877234	19875521	19875807	19877039	19877234
1589	"TXNRD2"	"TXNRD2"	chr22	-	19875521	19877234	19875521	19875807	19877108	19877234
1593	"IFI30"	"IFI30"	chr19	+	18177139	18177764	18177139	18177292	18177710	18177764
1596	"PIGO"	"PIGO"	chr9	-	35091239	35092767	35091239	35091291	35092542	35092767
1597	"MSL1"	"MSL1"	chr17	+	40133041	40133658	40133041	40133109	40133533	40133658
1601	"SLC7A6"	"SLC7A6"	chr16	+	68274690	68275249	68274690	68274876	68275126	68275249
1602	"SLC7A6"	"SLC7A6"	chr16	+	68297233	68301819	68297233	68297476	68298490	68301819
1603	"SPEF1"	"SPEF1"	chr20	-	3778420	3778990	3778420	3778544	3778745	3778990
1604	"SPEF1"	"SPEF1"	chr20	-	3778745	3778990	3778745	3778806	3778950	3778990
1606	"NAGK"	"NAGK"	chr2	+	71072640	71073594	71072640	71072751	71072825	71073594
1607	"NAGK"	"NAGK"	chr2	+	71072640	71073594	71072640	71072751	71073481	71073594
1608	"NAGK"	"NAGK"	chr2	+	71075554	71076701	71075554	71075610	71076603	71076701
1609	"NAGK"	"NAGK"	chr2	+	71075554	71076701	71075554	71075642	71076603	71076701
1611	"GAS2L1"	"GAS2L1"	chr22	+	29307057	29308738	29307057	29307186	29308086	29308738
1612	"DHX38"	"DHX38"	chr16	+	72098926	72099280	72098926	72099045	72099203	72099280
1613	"COG4"	"COG4"	chr16	-	70508405	70509388	70508405	70508464	70509230	70509388
1636	"PRMT2"	"PRMT2"	chr21	+	46648457	46648619	46648457	46648538	46648539	46648619
1637	"PRMT2"	"PRMT2"	chr21	+	46658744	46659430	46658744	46658798	46658799	46659430
1640	"P4HTM"	"P4HTM"	chr3	+	49004860	49005867	49004860	49005170	49005717	49005867
1641	"P4HTM"	"P4HTM"	chr3	+	49004860	49005867	49004860	49005046	49005776	49005867
1664	"CCDC90B"	"CCDC90B"	chr11	-	83273792	83273992	83273792	83273864	83273950	83273992
1668	"CHD9"	"CHD9"	chr16	+	53209481	53209813	53209481	53209541	53209704	53209813
1689	"DKC1"	"DKC1"	chrX	+	154774601	154775273	154774601	154774705	154775194	154775273
1694	"WBP1"	"WBP1"	chr2	+	74459437	74459745	74459437	74459552	74459642	74459745
1695	"WBP1"	"WBP1"	chr2	+	74459437	74459745	74459437	74459562	74459642	74459745
1696	"MORF4L1"	"MORF4L1"	chr15	+	78890988	78891572	78890988	78891014	78891483	78891572
1707	"MFN1"	"MFN1"	chr3	+	179378340	179378814	179378340	179378443	179378584	179378814
1722	"LRCH4"	"LRCH4"	chr7	-	100576693	100577005	100576693	100576777	100576901	100577005
1741	"LARP1B"	"LARP1B"	chr4	+	128107138	128108901	128107138	128107313	128107882	128108901
1748	"CALM3"	"CALM3"	chr19	+	46608481	46608981	46608481	46608588	46608845	46608981
