ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
84	"DDX54"	"DDX54"	chr12	-	113172352	113172563	113174639	113174771	113169769	113169904	113174874	113174936
100	"EML2"	"EML2"	chr19	-	45624718	45624818	45626704	45626839	45621206	45621332	45629950	45630046
102	"EML2"	"EML2"	chr19	-	45626704	45626839	45629950	45630046	45624718	45624818	45632860	45632971
103	"LINC01399"	"LINC01399"	chr22	-	35120012	35120067	35171434	35171602	35119823	35119904	35172338	35172460
104	"LINC01399"	"LINC01399"	chr22	-	35172338	35172460	35194856	35195019	35119823	35119904	35230997	35231056
107	"PSEN1"	"PSEN1"	chr14	+	73192643	73192864	73198030	73198129	73186852	73186920	73206385	73206472
109	"UTRN"	"UTRN"	chr6	+	144839172	144839284	144840739	144840832	144836300	144836541	144846804	144846827
110	"WDR26"	"WDR26"	chr1	-	224389832	224389860	224393827	224394013	224385665	224386502	224398096	224398226
111	"ZDHHC11"	"ZDHHC11"	chr5	-	821860	821895	823388	823809	819524	819612	825163	825251
112	"ZDHHC11"	"ZDHHC11"	chr5	-	821860	821895	823388	824093	819524	819612	825163	825251
114	"CRCP"	"CRCP"	chr7	+	66127703	66127740	66130743	66130842	66114603	66114970	66134279	66134374
115	"CRCP"	"CRCP"	chr7	+	66127703	66127740	66134279	66134374	66114603	66114970	66145442	66145500
116	"CRCP"	"CRCP"	chr7	+	66130743	66130842	66134279	66134374	66114603	66114970	66145442	66145500
117	"CRCP"	"CRCP"	chr7	+	66130743	66130842	66134279	66134374	66127703	66127740	66145442	66145500
118	"CRCP"	"CRCP"	chr7	+	66134279	66134374	66145442	66145500	66127703	66127740	66152207	66152870
119	"CRCP"	"CRCP"	chr7	+	66134279	66134374	66145442	66145500	66130743	66130842	66152207	66154561
121	"PICK1"	"PICK1"	chr22	+	38069032	38069122	38070837	38070891	38067476	38067770	38071681	38071744
128	"ALOX15"	"ALOX15"	chr17	-	4638216	4638377	4638580	4638684	4637114	4637258	4638849	4638972
129	"FLNB"	"FLNB"	chr3	+	58098710	58098908	58102202	58102340	58081628	58081776	58103958	58104085
130	"TTC1"	"TTC1"	chr5	+	160043132	160043169	160049513	160049662	160036505	160036803	160051128	160051183
131	"TTC1"	"TTC1"	chr5	+	160049513	160049662	160051128	160051183	160043132	160043169	160064931	160065022
132	"TTC1"	"TTC1"	chr5	+	160051128	160051183	160064931	160065022	160049513	160049662	160065276	160065487
134	"CCDC84"	"CCDC84"	chr11	+	119012148	119012254	119013231	119013262	119011938	119012003	119014993	119015083
135	"MME"	"MME"	chr3	+	155141990	155142127	155142236	155142330	155140190	155140292	155143442	155143571
136	"RFWD2"	"RFWD2"	chr1	-	176135009	176135086	176149005	176149074	176116623	176116681	176162868	176162988
138	"RFWD2"	"RFWD2"	chr1	-	176136487	176136547	176149005	176149074	176135009	176135086	176184632	176184692
139	"RFWD2"	"RFWD2"	chr1	-	176149005	176149074	176162868	176162988	176116623	176116681	176163826	176163891
140	"RFWD2"	"RFWD2"	chr1	-	176149005	176149074	176162868	176162988	176135009	176135086	176163826	176163891
142	"WNT7B"	"WNT7B"	chr22	-	45931097	45931369	45949919	45950146	45920361	45923335	45976683	45977129
143	"ZSCAN20"	"ZSCAN20"	chr1	+	33489114	33489191	33489517	33489602	33488464	33488651	33491024	33491702
145	"FARSA"	"FARSA"	chr19	-	12930222	12930341	12930428	12930527	12928754	12928847	12930611	12930749
146	"TPMT"	"TPMT"	chr6	-	18132132	18132177	18133803	18133889	18128310	18130780	18138962	18139037
147	"TPMT"	"TPMT"	chr6	-	18143595	18143728	18148987	18149171	18139664	18139717	18155032	18155074
150	"NFYC"	"NFYC"	chr1	+	40753150	40753246	40758120	40758294	40747533	40747605	40762887	40763046
151	"NFYC"	"NFYC"	chr1	+	40758120	40758294	40762887	40763046	40753150	40753246	40766595	40766703
152	"NFYC"	"NFYC"	chr1	+	40762887	40763046	40766595	40766703	40758120	40758294	40769355	40769415
153	"NFYC"	"NFYC"	chr1	+	40762989	40763046	40766595	40766703	40758120	40758294	40769355	40769415
154	"NFYC"	"NFYC"	chr1	+	40766595	40766703	40769355	40769415	40762887	40763046	40770708	40770738
155	"FIG4"	"FIG4"	chr6	+	109716444	109716568	109727108	109727265	109715077	109715176	109732636	109732687
156	"B9D1"	"B9D1"	chr17	-	19357839	19357951	19360319	19360388	19347783	19347880	19362506	19362542
157	"B9D1"	"B9D1"	chr17	-	19357839	19357951	19360319	19360388	19347783	19347880	19377858	19378182
165	"INPP5J"	"INPP5J"	chr22	+	31124141	31124263	31125832	31126010	31122993	31123119	31126375	31126489
166	"INPP5J"	"INPP5J"	chr22	+	31124844	31124906	31125832	31126010	31122993	31123119	31126375	31126489
167	"YBX2"	"YBX2"	chr17	-	7291092	7291182	7292025	7292059	7290250	7290535	7293474	7293538
168	"GTPBP10"	"GTPBP10"	chr7	+	90352815	90353009	90372154	90372228	90346664	90346774	90374301	90374354
174	"GTPBP10"	"GTPBP10"	chr7	+	90372154	90372228	90374301	90374354	90346664	90346774	90377506	90377614
175	"GTPBP10"	"GTPBP10"	chr7	+	90372154	90372228	90374301	90374354	90352815	90353009	90377506	90377572
178	"ESRP1"	"ESRP1"	chr8	+	94674307	94674494	94678202	94678371	94671452	94671671	94705924	94707466
180	"TMC5"	"TMC5"	chr16	+	19469680	19469825	19472087	19472243	19466081	19466233	19474124	19474276
182	"TMTC4"	"TMTC4"	chr13	-	100656380	100656468	100662963	100663180	100642210	100642311	100664220	100664336
184	"PDE8A"	"PDE8A"	chr15	+	85067013	85067204	85075861	85075918	85062496	85064426	85076732	85076787
185	"PDE8A"	"PDE8A"	chr15	+	85083555	85083644	85089337	85089416	85076732	85076787	85091043	85091181
186	"PDE8A"	"PDE8A"	chr15	+	85083555	85083644	85089337	85089416	85076732	85076787	85097947	85098036
188	"RANBP17"	"RANBP17"	chr5	+	170892386	170892553	170896049	170896115	170881805	170881896	170909660	170909765
189	"RANBP17"	"RANBP17"	chr5	+	170914166	170914240	170916464	170916584	170910968	170911134	170918712	170918859
190	"RANBP17"	"RANBP17"	chr5	+	170914166	170914240	170918712	170918859	170910968	170911134	170919440	170919613
191	"RANBP17"	"RANBP17"	chr5	+	170914166	170914240	170916464	170916584	170911027	170911134	170919440	170919613
192	"RANBP17"	"RANBP17"	chr5	+	170916464	170916584	170918712	170918859	170910968	170911134	170919440	170919613
193	"RANBP17"	"RANBP17"	chr5	+	170916464	170916584	170918712	170918859	170914166	170914240	170919440	170919613
195	"DPP8"	"DPP8"	chr15	-	65490188	65490299	65497863	65498032	65481514	65481615	65500605	65500779
196	"EIF2S3"	"EIF2S3"	chrX	+	24067963	24068108	24071557	24071727	24065997	24066092	24073090	24073263
197	"EIF2S3"	"EIF2S3"	chrX	+	24071557	24071727	24073090	24073263	24067963	24068108	24076721	24077971
199	"SLC28A1"	"SLC28A1"	chr15	+	84904096	84904238	84908717	84908795	84894939	84895123	84918523	84918604
200	"SLC28A1"	"SLC28A1"	chr15	+	84905538	84905652	84908717	84908795	84904096	84904238	84918523	84918604
201	"IL15"	"IL15"	chr4	+	141656185	141656307	141688821	141689035	141636725	141636748	141719377	141719476
203	"PPP6R2"	"PPP6R2"	chr22	+	50388985	50389111	50391866	50392015	50372071	50372150	50393892	50394135
204	"GAA"	"GAA"	chr17	+	80111982	80112100	80112875	80113027	80110940	80111025	80113217	80113366
205	"GAA"	"GAA"	chr17	+	80112577	80112711	80112875	80113027	80111982	80112100	80113217	80113366
206	"GAA"	"GAA"	chr17	+	80112577	80112711	80113217	80113366	80111982	80112100	80116967	80117082
210	"MKLN1"	"MKLN1"	chr7	+	131443480	131443702	131445773	131445903	131437784	131437997	131463216	131463364
213	"TCP11L1"	"TCP11L1"	chr11	+	33043749	33043936	33054592	33054725	33039416	33039792	33057114	33057235
214	"TCP11L1"	"TCP11L1"	chr11	+	33054592	33054725	33057114	33057235	33043749	33043936	33057918	33057933
217	"PPP1R9B"	"PPP1R9B"	chr17	-	50139428	50139581	50140092	50140228	50139262	50139316	50141268	50141373
218	"LAPTM4B"	"LAPTM4B"	chr8	+	97805352	97805464	97815327	97815401	97775056	97776108	97816057	97816180
219	"LAPTM4B"	"LAPTM4B"	chr8	+	97819139	97819238	97825057	97825153	97816057	97816180	97851396	97851474
220	"DAB2"	"DAB2"	chr5	-	39381453	39381616	39382617	39383271	39376649	39377282	39388304	39388367
222	"SLC52A2"	"SLC52A2"	chr8	+	144359622	144359747	144360171	144360493	144359183	144359423	144360589	144360729
223	"SLC52A2"	"SLC52A2"	chr8	+	144359622	144359747	144360589	144360713	144359183	144359423	144360802	144361272
224	"TPD52L1"	"TPD52L1"	chr6	+	125220077	125220193	125229117	125229266	125153648	125153970	125248281	125248383
225	"PHKB"	"PHKB"	chr16	+	47663676	47663734	47665941	47666032	47661718	47661800	47669214	47669417
227	"TMEM135"	"TMEM135"	chr11	+	87067693	87067821	87071522	87071615	87037843	87038186	87091361	87091395
228	"TMEM135"	"TMEM135"	chr11	+	87071522	87071615	87091361	87091395	87037891	87038186	87157340	87157885
229	"TMEM135"	"TMEM135"	chr11	+	87091361	87091395	87157340	87157406	87071522	87071615	87236637	87236684
230	"TMEM135"	"TMEM135"	chr11	+	87302295	87302442	87305935	87306005	87295781	87295823	87309504	87309672
233	"PON3"	"PON3"	chr7	-	95372172	95372338	95390153	95390209	95363862	95364063	95394643	95394714
234	"RP11-561B11.2"	"RP11-561B11.2"	chr14	+	35310739	35310895	35312880	35313059	35308913	35308995	35314360	35314455
238	"MICALL1"	"MICALL1"	chr22	+	37919035	37919178	37921971	37922426	37917706	37917795	37924659	37924717
239	"MICALL1"	"MICALL1"	chr22	+	37937079	37937194	37937745	37937819	37933038	37933112	37940708	37941187
240	"MICALL1"	"MICALL1"	chr22	+	37937079	37937194	37937745	37937792	37933038	37933112	37940708	37941533
242	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39151745	39151839	39154210	39154294	39147811	39150381	39158284	39158402
244	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39158402	39159482	39159550	39151745	39151839	39170014	39170322
245	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39158402	39159449	39159550	39151745	39151839	39170014	39170353
246	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39158402	39159482	39159550	39154210	39154294	39170014	39170322
247	"TRAPPC6B"	"TRAPPC6B"	chr14	-	39158284	39158402	39159449	39159550	39154210	39154294	39170014	39170353
248	"PAFAH1B1"	"PAFAH1B1"	chr17	+	2638098	2638320	2665371	2665456	2593745	2594006	2666015	2666090
249	"UBAP1"	"UBAP1"	chr9	+	34234215	34234340	34241184	34242108	34179004	34179240	34249778	34249961
251	"UBAP1"	"UBAP1"	chr9	+	34241184	34242108	34249778	34249961	34234215	34234340	34250657	34250759
254	"VPS28"	"VPS28"	chr8	-	144424717	144424819	144424945	144425000	144424214	144424268	144425682	144425772
255	"VPS28"	"VPS28"	chr8	-	144424717	144424819	144424945	144425051	144424214	144424268	144425682	144425772
256	"VPS28"	"VPS28"	chr8	-	144426179	144426208	144426908	144426979	144425395	144425772	144428488	144428543
257	"VPS28"	"VPS28"	chr8	-	144426179	144426208	144426908	144427291	144425717	144425772	144428488	144428544
258	"LPGAT1"	"LPGAT1"	chr1	-	211783228	211783502	211787631	211787727	211778917	211779044	211793071	211793190
259	"BCL9L"	"BCL9L"	chr11	-	118909913	118910015	118918825	118918879	118908416	118908655	118925237	118925453
260	"ORC5"	"ORC5"	chr7	-	104161071	104161182	104165234	104165282	104136780	104136893	104166771	104166884
262	"P3H4"	"P3H4"	chr17	-	41807858	41808004	41809705	41809834	41806795	41806879	41810862	41811034
264	"NMRK1"	"NMRK1"	chr9	-	75077489	75077580	75083086	75083150	75077158	75077207	75088007	75088190
265	"SHC1"	"SHC1"	chr1	-	154969377	154969448	154970031	154970199	154968770	154968834	154974247	154974336
266	"TBCEL"	"TBCEL"	chr11	+	121053629	121053732	121055051	121055308	121047527	121047667	121058344	121058471
269	"MPDU1"	"MPDU1"	chr17	+	7585731	7585797	7585945	7586078	7583646	7583965	7586691	7586777
270	"MPDU1"	"MPDU1"	chr17	+	7585731	7585797	7585945	7586078	7583847	7583965	7586655	7587201
271	"MPDU1"	"MPDU1"	chr17	+	7585945	7586078	7586655	7586777	7583851	7583965	7586898	7587017
272	"MPDU1"	"MPDU1"	chr17	+	7585945	7586078	7586655	7586777	7585731	7585797	7586898	7587017
275	"YARS"	"YARS"	chr1	-	32786939	32787075	32791161	32791254	32786361	32786447	32797762	32797843
276	"YARS"	"YARS"	chr1	-	32791161	32791254	32797762	32797843	32786939	32787075	32806481	32806611
277	"YARS"	"YARS"	chr1	-	32797762	32797843	32806481	32806611	32791161	32791254	32810590	32810766
283	"BLOC1S5"	"BLOC1S5"	chr6	-	8026366	8026425	8041138	8041268	8013566	8015828	8062533	8062616
285	"HNRNPUL2"	"HNRNPUL2"	chr11	-	62723913	62723990	62724290	62724426	62723586	62723726	62726618	62727349
286	"E2F7"	"E2F7"	chr12	-	77033856	77034042	77043064	77043199	77033049	77033122	77044636	77044795
287	"SLC25A26"	"SLC25A26"	chr3	+	66346363	66346408	66362859	66362929	66263331	66263379	66369477	66369542
290	"RHOA"	"RHOA"	chr3	-	49362495	49362626	49368427	49368548	49359144	49360382	49375433	49375591
291	"RHOA"	"RHOA"	chr3	-	49368427	49368548	49375433	49375591	49359144	49360382	49411819	49412202
293	"NIPA2"	"NIPA2"	chr15	+	22845145	22845267	22851638	22851870	22838657	22838947	22858539	22858630
295	"NIPA2"	"NIPA2"	chr15	+	22851638	22851870	22853211	22853268	22845145	22845267	22858539	22858630
296	"NIPA2"	"NIPA2"	chr15	+	22851638	22851870	22858539	22858630	22845145	22845267	22860628	22860789
297	"NIPA2"	"NIPA2"	chr15	+	22853211	22853268	22858539	22858630	22845145	22845267	22860628	22860789
302	"AHCYL1"	"AHCYL1"	chr1	+	110019050	110019119	110019547	110019626	110018551	110018650	110020730	110020851
303	"AHCYL1"	"AHCYL1"	chr1	+	110019547	110019626	110020730	110020851	110019050	110019119	110021673	110022389
304	"VRK3"	"VRK3"	chr19	-	49994813	49994919	49995190	49995275	49992859	49992952	49997503	49997541
305	"VRK3"	"VRK3"	chr19	-	49994813	49994919	49995190	49995275	49992859	49992952	50000789	50000854
306	"VRK3"	"VRK3"	chr19	-	49995190	49995275	49997503	49997570	49994813	49994919	50000789	50000854
312	"RPS6KA1"	"RPS6KA1"	chr1	+	26536924	26536969	26546866	26546983	26529766	26529983	26547188	26547270
335	"BPTF"	"BPTF"	chr17	+	67966571	67966656	67975771	67975958	67964211	67964404	67981435	67981762
340	"MEF2A"	"MEF2A"	chr15	+	99671322	99671454	99671519	99671657	99632977	99633173	99674392	99674612
342	"MEF2A"	"MEF2A"	chr15	+	99706728	99706855	99710633	99710760	99675398	99675458	99712389	99713324
359	"ARFGAP3"	"ARFGAP3"	chr22	-	42823655	42823702	42826939	42826999	42822269	42822409	42831548	42831636
363	"MLLT10"	"MLLT10"	chr10	+	21682224	21682257	21688490	21688538	21681331	21681376	21713771	21713950
364	"PARP12"	"PARP12"	chr7	-	140034234	140034331	140046883	140047007	140028612	140028688	140054661	140054763
366	"PARP12"	"PARP12"	chr7	-	140037714	140037856	140046883	140047007	140034234	140034331	140054661	140054763
367	"TMEM181"	"TMEM181"	chr6	+	158580939	158580995	158583953	158584044	158573419	158573523	158585303	158585425
368	"TMEM181"	"TMEM181"	chr6	+	158605266	158605347	158607243	158607343	158589671	158589782	158608332	158608463
369	"LANCL2"	"LANCL2"	chr7	+	55391792	55391910	55401173	55401320	55365447	55366229	55411906	55412089
370	"LANCL2"	"LANCL2"	chr7	+	55391792	55391910	55425253	55425430	55365447	55366229	55428374	55428447
371	"LANCL2"	"LANCL2"	chr7	+	55401173	55401320	55411906	55412089	55365447	55366229	55425253	55425430
372	"LANCL2"	"LANCL2"	chr7	+	55401173	55401320	55411906	55412089	55391792	55391910	55425253	55425430
373	"LANCL2"	"LANCL2"	chr7	+	55411906	55412089	55425253	55425430	55365447	55366229	55428374	55428447
374	"LANCL2"	"LANCL2"	chr7	+	55411906	55412089	55425253	55425430	55401173	55401320	55428374	55428447
376	"MYL6"	"MYL6"	chr12	+	56158683	56158711	56159586	56159730	56158160	56158404	56159974	56160148
377	"MYL6"	"MYL6"	chr12	+	56158683	56158711	56159586	56159622	56158356	56158404	56160024	56160148
378	"MYL6"	"MYL6"	chr12	+	56158683	56158711	56159586	56159622	56158381	56158404	56159974	56160148
382	"MYL6"	"MYL6"	chr12	+	56159586	56159730	56160024	56160148	56158683	56158711	56160242	56160320
384	"MYL6"	"MYL6"	chr12	+	56159622	56159730	56160024	56160148	56158683	56158711	56160242	56160320
385	"ZNF814"	"ZNF814"	chr19	-	57868457	57868579	57876915	57877042	57864758	57864919	57888766	57888817
386	"ZNF814"	"ZNF814"	chr19	-	57868486	57868579	57876915	57877042	57864764	57864919	57888766	57888780
390	"AKNA"	"AKNA"	chr9	-	114376465	114377532	114381059	114381446	114374092	114374167	114394356	114394405
391	"SKIL"	"SKIL"	chr3	+	170359698	170361429	170381243	170381341	170357725	170357763	170384532	170384765
392	"SKIL"	"SKIL"	chr3	+	170381243	170381341	170384532	170384627	170359622	170361429	170390222	170390464
393	"SKIL"	"SKIL"	chr3	+	170381243	170381341	170384532	170384765	170359622	170361429	170390222	170390464
395	"FXYD5"	"FXYD5"	chr19	+	35160708	35160801	35164155	35164245	35158343	35158400	35166141	35166171
396	"NOL10"	"NOL10"	chr2	-	10644319	10644372	10657741	10657891	10607184	10607311	10659171	10659250
397	"NOL10"	"NOL10"	chr2	-	10654480	10654547	10657741	10657891	10644319	10644372	10659171	10659250
402	"DDX19A"	"DDX19A"	chr16	+	70361417	70361510	70364542	70364645	70356111	70356247	70365016	70365131
403	"DDX19A"	"DDX19A"	chr16	+	70361417	70361510	70364542	70364645	70356860	70356906	70365016	70365131
404	"PTPN13"	"PTPN13"	chr4	+	86693586	86693674	86701240	86701801	86689004	86689190	86716529	86716625
405	"PTPN13"	"PTPN13"	chr4	+	86769768	86769983	86770100	86770199	86767816	86767976	86771170	86771535
406	"MCUR1"	"MCUR1"	chr6	-	13791877	13791992	13793893	13793947	13786556	13790864	13798832	13798904
407	"MCUR1"	"MCUR1"	chr6	-	13791877	13791992	13793893	13793947	13788645	13788704	13798832	13798904
408	"MCUR1"	"MCUR1"	chr6	-	13791877	13791992	13798832	13798904	13788645	13788704	13800340	13800382
409	"MCUR1"	"MCUR1"	chr6	-	13793893	13793947	13798832	13798904	13788645	13788704	13800340	13800382
410	"MCUR1"	"MCUR1"	chr6	-	13793893	13793947	13798832	13798904	13791877	13791992	13800340	13800382
411	"MCUR1"	"MCUR1"	chr6	-	13801287	13801389	13802242	13802346	13800340	13800382	13806924	13807044
415	"LRP8"	"LRP8"	chr1	-	53271226	53271346	53275630	53275753	53266472	53266647	53280586	53280715
416	"LRP8"	"LRP8"	chr1	-	53271226	53271346	53280586	53280715	53266472	53266647	53289566	53289689
417	"LRP8"	"LRP8"	chr1	-	53271226	53271346	53275630	53275753	53271027	53271153	53280586	53280715
418	"LRP8"	"LRP8"	chr1	-	53272603	53272642	53275630	53275753	53271027	53271153	53280586	53280715
420	"LRP8"	"LRP8"	chr1	-	53275630	53275753	53280586	53280715	53266472	53266647	53289566	53289689
422	"LRP8"	"LRP8"	chr1	-	53275630	53275753	53289566	53289689	53271226	53271346	53326872	53326992
423	"ADGRV1"	"ADGRV1"	chr5	+	91150029	91150221	91153220	91153398	91102218	91102340	91163781	91164215
424	"RNF216"	"RNF216"	chr7	-	5721032	5721172	5725323	5725438	5716715	5716766	5729431	5729596
425	"RNF216"	"RNF216"	chr7	-	5766894	5766939	5775004	5775179	5761010	5761138	5777486	5777628
427	"INTS9"	"INTS9"	chr8	-	28813491	28813612	28835291	28835378	28796543	28796655	28837636	28837776
429	"PPT1"	"PPT1"	chr1	-	40089409	40089512	40092397	40092507	40080396	40080487	40097114	40097252
430	"EZH2"	"EZH2"	chr7	-	148813958	148814137	148814913	148815039	148811624	148811720	148815505	148815546
431	"HECTD4"	"HECTD4"	chr12	-	112273654	112273795	112274846	112274960	112270226	112270459	112279227	112279386
432	"XPO6"	"XPO6"	chr16	-	28177219	28177332	28180940	28181031	28175897	28176095	28208986	28209122
433	"STK17B"	"STK17B"	chr2	-	196156438	196156651	196163261	196163427	196145910	196146055	196171332	196171575
434	"AGBL3"	"AGBL3"	chr7	+	134989249	134989310	134993492	134993678	134987888	134987996	135010041	135012511
435	"NMT2"	"NMT2"	chr10	-	15130141	15130312	15132816	15132933	15128349	15128458	15133052	15133144
436	"CPNE1"	"CPNE1"	chr20	-	35626562	35626803	35627279	35627413	35626043	35626381	35630438	35630456
437	"CPNE1"	"CPNE1"	chr20	-	35626566	35626803	35627279	35627413	35626030	35626381	35630438	35630490
438	"CPNE1"	"CPNE1"	chr20	-	35626734	35626803	35627279	35627413	35626065	35626381	35630438	35630490
439	"CPNE1"	"CPNE1"	chr20	-	35630740	35630795	35630900	35631034	35630438	35630490	35631113	35631173
441	"SIPA1"	"SIPA1"	chr11	+	65649949	65650051	65650137	65650192	65649685	65649865	65650400	65650479
442	"SIPA1"	"SIPA1"	chr11	+	65650137	65650192	65650400	65650479	65649949	65650051	65650568	65650587
443	"USP39"	"USP39"	chr2	+	85621484	85621579	85623645	85623782	85619219	85619289	85625538	85625589
