ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
386	"PRPF40B"	"PRPF40B"	chr12	+	49633013	49633547	49633013	49633124	49633426	49633547
397	"CSNK1G2"	"CSNK1G2"	chr19	+	1978304	1978511	1978304	1978345	1978441	1978511
398	"CSNK1G2"	"CSNK1G2"	chr19	+	1978858	1979248	1978858	1979093	1979162	1979248
404	"NIT2"	"NIT2"	chr3	+	100345584	100346255	100345584	100345678	100346180	100346255
414	"TLE6"	"TLE6"	chr19	+	2993431	2993582	2993431	2993542	2993544	2993582
417	"PTPRF"	"PTPRF"	chr1	+	43620094	43620579	43620094	43620221	43620453	43620579
419	"LPO"	"LPO"	chr17	+	58242977	58244081	58242977	58243055	58243993	58244081
420	"LPO"	"LPO"	chr17	+	58249059	58249695	58249059	58249177	58249565	58249695
426	"C1orf159"	"C1orf159"	chr1	-	1083914	1084383	1083914	1084011	1084352	1084383
427	"C1orf159"	"C1orf159"	chr1	-	1083914	1084383	1083914	1084086	1084352	1084383
454	"RPL10"	"RPL10"	chrX	+	154399337	154399594	154399337	154399396	154399486	154399594
460	"MROH7-TTC4"	"MROH7-TTC4"	chr1	+	54731485	54731700	54731485	54731549	54731654	54731700
463	"DDX55"	"DDX55"	chr12	+	123607431	123607662	123607431	123607523	123607599	123607662
464	"DDX55"	"DDX55"	chr12	+	123607431	123607662	123607431	123607523	123607603	123607662
465	"DDX55"	"DDX55"	chr12	+	123607431	123608829	123607431	123607662	123608679	123608829
476	"AFTPH"	"AFTPH"	chr2	+	64579485	64581273	64579485	64579546	64581189	64581273
492	"OTUB1"	"OTUB1"	chr11	+	63996529	63996941	63996529	63996648	63996853	63996941
493	"OTUB1"	"OTUB1"	chr11	+	63996529	63996941	63996529	63996648	63996856	63996941
494	"CASP2"	"CASP2"	chr7	+	143300203	143303933	143300203	143300294	143303783	143303933
495	"ZCCHC17"	"ZCCHC17"	chr1	+	31337174	31337275	31337174	31337192	31337194	31337275
498	"EML6"	"EML6"	chr2	+	54866765	54869367	54866765	54866884	54869180	54869367
505	"RPS16"	"RPS16"	chr19	-	39433664	39435708	39433664	39433761	39435606	39435708
506	"RPS16"	"RPS16"	chr19	-	39433664	39435708	39433664	39433761	39435657	39435708
509	"UBA52"	"UBA52"	chr19	+	18574869	18575241	18574869	18574972	18575056	18575241
510	"UBA52"	"UBA52"	chr19	+	18574869	18575241	18574869	18574972	18575102	18575241
521	"WDR41"	"WDR41"	chr5	-	77451290	77451353	77451290	77451314	77451315	77451353
524	"NUP85"	"NUP85"	chr17	+	75234636	75235201	75234636	75234788	75235099	75235201
526	"UBL7-AS1"	"UBL7-AS1"	chr15	+	74461264	74462031	74461264	74461418	74461882	74462031
527	"MGAT4B"	"MGAT4B"	chr5	-	179799505	179800068	179799505	179799636	179799953	179800068
531	"LAMP1"	"LAMP1"	chr13	+	113320344	113321470	113320344	113320470	113321403	113321470
533	"POLR3C"	"POLR3C"	chr1	+	145826453	145826709	145826453	145826492	145826605	145826709
538	"USP14"	"USP14"	chr18	+	209970	210493	209970	210031	210385	210493
539	"CD82"	"CD82"	chr11	+	44605057	44605429	44605057	44605182	44605354	44605429
551	"PLOD3"	"PLOD3"	chr7	-	101212841	101213204	101212841	101212943	101213106	101213204
561	"ANXA4"	"ANXA4"	chr2	+	69807905	69810673	69807905	69807996	69810593	69810673
562	"YIF1A"	"YIF1A"	chr11	-	66284579	66284966	66284579	66284783	66284868	66284966
563	"YIF1A"	"YIF1A"	chr11	-	66284579	66284966	66284579	66284783	66284872	66284966
565	"CDRT1"	"CDRT1"	chr17	-	15613614	15614033	15613614	15613742	15613832	15614033
566	"SIMC1"	"SIMC1"	chr5	+	176295029	176295262	176295029	176295077	176295149	176295262
602	"RPGR"	"RPGR"	chrX	-	38287093	38288041	38287093	38287245	38287860	38288041
604	"ZNF383"	"ZNF383"	chr19	+	37235548	37236074	37235548	37235675	37235978	37236074
605	"ZNF383"	"ZNF383"	chr19	+	37235548	37236074	37235548	37235758	37235978	37236074
609	"CDC16"	"CDC16"	chr13	+	114272183	114272675	114272183	114272481	114272563	114272675
626	"SPNS2"	"SPNS2"	chr17	+	4536075	4536426	4536075	4536174	4536262	4536426
637	"RP11-390P2.4"	"RP11-390P2.4"	chr6	+	138696596	138697288	138696596	138696755	138696902	138697288
646	"P2RX4"	"P2RX4"	chr12	+	121232610	121233092	121232610	121232676	121232996	121233092
649	"FAM195A"	"FAM195A"	chr16	+	647416	647884	647416	647544	647782	647884
651	"SFI1"	"SFI1"	chr22	+	31604868	31606430	31604868	31604945	31606327	31606430
656	"SELM"	"SELM"	chr22	-	31105929	31105965	31105929	31105950	31105953	31105965
657	"SELM"	"SELM"	chr22	-	31105929	31107533	31105929	31105965	31107376	31107533
660	"MRPL2"	"MRPL2"	chr6	-	43055896	43056196	43055896	43056007	43056080	43056196
673	"KDM3B"	"KDM3B"	chr5	+	138386021	138386621	138386021	138386190	138386288	138386621
683	"ARF5"	"ARF5"	chr7	+	127589484	127590137	127589484	127589594	127590065	127590137
699	"RHPN1"	"RHPN1"	chr8	+	143379828	143380175	143379828	143380035	143380036	143380175
700	"RHPN1"	"RHPN1"	chr8	+	143379828	143380175	143379828	143379985	143380061	143380175
706	"PLEKHG3"	"PLEKHG3"	chr14	+	64731360	64731806	64731360	64731543	64731713	64731806
707	"PLEKHG3"	"PLEKHG3"	chr14	+	64736852	64737375	64736852	64736891	64737355	64737375
715	"ZWINT"	"ZWINT"	chr10	-	56359686	56360383	56359686	56359853	56360017	56360383
716	"ZWINT"	"ZWINT"	chr10	-	56359686	56360383	56359686	56359853	56360292	56360383
717	"ZWINT"	"ZWINT"	chr10	-	56360017	56360383	56360017	56360141	56360292	56360383
732	"COL4A6"	"COL4A6"	chrX	-	108164876	108165038	108164876	108164921	108164957	108165038
733	"KLHDC4"	"KLHDC4"	chr16	-	87755193	87756477	87755193	87755292	87756398	87756477
734	"KLHDC4"	"KLHDC4"	chr16	-	87755193	87756477	87755193	87755254	87756421	87756477
735	"KLHDC4"	"KLHDC4"	chr16	-	87755193	87756477	87755193	87755292	87756421	87756477
746	"MCAM"	"MCAM"	chr11	-	119310755	119311185	119310755	119310903	119311089	119311185
753	"SPATS2L"	"SPATS2L"	chr2	+	200419249	200419496	200419249	200419337	200419339	200419496
759	"SLC3A2"	"SLC3A2"	chr11	+	62885176	62885608	62885176	62885357	62885464	62885608
760	"TMEM168"	"TMEM168"	chr7	-	112783697	112784953	112783697	112783756	112784854	112784953
764	"ARF1"	"ARF1"	chr1	+	228097077	228097452	228097077	228097262	228097341	228097452
766	"DPH7"	"DPH7"	chr9	-	137564892	137565154	137564892	137564958	137565084	137565154
767	"DPH7"	"DPH7"	chr9	-	137575708	137576167	137575708	137575892	137576079	137576167
768	"CERCAM"	"CERCAM"	chr9	+	128428929	128429036	128428929	128429031	128429032	128429036
772	"GPS1"	"GPS1"	chr17	+	82056285	82056550	82056285	82056391	82056469	82056550
811	"NKIRAS2"	"NKIRAS2"	chr17	+	42022398	42022640	42022398	42022472	42022564	42022640
812	"NKIRAS2"	"NKIRAS2"	chr17	+	42022398	42022640	42022398	42022472	42022569	42022640
813	"TKT"	"TKT"	chr3	-	53234982	53235174	53234982	53235116	53235148	53235174
815	"TMEM94"	"TMEM94"	chr17	+	75492928	75493593	75492928	75493102	75493490	75493593
816	"TMEM94"	"TMEM94"	chr17	+	75498443	75498722	75498443	75498538	75498628	75498722
818	"HMG20B"	"HMG20B"	chr19	+	3573691	3574586	3573691	3573800	3574340	3574586
819	"HMG20B"	"HMG20B"	chr19	+	3573691	3574586	3573691	3573800	3574369	3574586
820	"HMG20B"	"HMG20B"	chr19	+	3573691	3574586	3573691	3573800	3574382	3574586
831	"INO80E"	"INO80E"	chr16	+	29996243	29996617	29996243	29996391	29996546	29996617
836	"SELK"	"SELK"	chr3	-	53885825	53885912	53885825	53885830	53885833	53885912
841	"ADD1"	"ADD1"	chr4	+	2904763	2905015	2904763	2904777	2904919	2905015
843	"AKR7L"	"AKR7L"	chr1	-	19270747	19270935	19270747	19270831	19270834	19270935
859	"RHCE"	"RHCE"	chr1	-	25388975	25389113	25388975	25389007	25389008	25389113
869	"NAA25"	"NAA25"	chr12	-	112039228	112040578	112039228	112039339	112040480	112040578
870	"CDC23"	"CDC23"	chr5	-	138191861	138192388	138191861	138191937	138192268	138192388
873	"SIRT6"	"SIRT6"	chr19	-	4175027	4175760	4175027	4175151	4175679	4175760
874	"SIRT6"	"SIRT6"	chr19	-	4175027	4175937	4175027	4175151	4175841	4175937
875	"SIRT6"	"SIRT6"	chr19	-	4175027	4175937	4175027	4175760	4175841	4175937
879	"SF1"	"SF1"	chr11	-	64764605	64766155	64764605	64765518	64765950	64766155
887	"PYCR2"	"PYCR2"	chr1	-	225922203	225922383	225922203	225922305	225922306	225922383
888	"PYCR2"	"PYCR2"	chr1	-	225921857	225923771	225921857	225922079	225923700	225923771
889	"PTMA"	"PTMA"	chr2	+	231711347	231711419	231711347	231711370	231711371	231711419
890	"PTMA"	"PTMA"	chr2	+	231711347	231711983	231711347	231711419	231711886	231711983
891	"PTMA"	"PTMA"	chr2	+	231711347	231711983	231711347	231711419	231711889	231711983
897	"PCIF1"	"PCIF1"	chr20	+	45947262	45948023	45947262	45947438	45947523	45948023
910	"NXPE3"	"NXPE3"	chr3	+	101816794	101817001	101816794	101816904	101816905	101817001
923	"RIOK1"	"RIOK1"	chr6	+	7402602	7402897	7402602	7402715	7402816	7402897
948	"CREBRF"	"CREBRF"	chr5	+	173108623	173110711	173108623	173108818	173110521	173110711
953	"RPL12"	"RPL12"	chr9	-	127449609	127451405	127449609	127449708	127451049	127451405
954	"RPL12"	"RPL12"	chr9	-	127449609	127451405	127449609	127449708	127451280	127451405
961	"ARHGAP4"	"ARHGAP4"	chrX	-	153913217	153913600	153913217	153913302	153913408	153913600
964	"URM1"	"URM1"	chr9	+	128389260	128392016	128389260	128389309	128389665	128392016
965	"NOP16"	"NOP16"	chr5	-	176388234	176388598	176388234	176388343	176388432	176388598
975	"CUL9"	"CUL9"	chr6	+	43196068	43196862	43196068	43196265	43196644	43196862
996	"IBTK"	"IBTK"	chr6	-	82191072	82191879	82191072	82191216	82191786	82191879
998	"ISYNA1"	"ISYNA1"	chr19	-	18436329	18437105	18436329	18436479	18436972	18437105
999	"ISYNA1"	"ISYNA1"	chr19	-	18437598	18437988	18437598	18437760	18437859	18437988
1000	"ISYNA1"	"ISYNA1"	chr19	-	18437859	18438162	18437859	18437988	18438092	18438162
1017	"CRTC2"	"CRTC2"	chr1	-	153954872	153955166	153954872	153954989	153955064	153955166
1032	"HARS2"	"HARS2"	chr5	+	140693490	140693665	140693490	140693508	140693590	140693665
1033	"TDRKH"	"TDRKH"	chr1	-	151774412	151774504	151774412	151774451	151774454	151774504
1052	"STK25"	"STK25"	chr2	-	241508005	241508362	241508005	241508135	241508317	241508362
1078	"SNRPE"	"SNRPE"	chr1	+	203861602	203862222	203861602	203861743	203862181	203862222
1094	"FKTN"	"FKTN"	chr9	+	105635050	105641118	105635050	105635148	105640100	105641118
1120	"ZSWIM8"	"ZSWIM8"	chr10	+	73791858	73792852	73791858	73792490	73792589	73792852
1125	"HNRNPLL"	"HNRNPLL"	chr2	-	38602437	38603036	38602437	38602600	38602856	38603036
1126	"ARL16"	"ARL16"	chr17	-	81682033	81682675	81682033	81682149	81682442	81682675
1127	"ARL16"	"ARL16"	chr17	-	81682033	81682675	81682033	81682149	81682490	81682675
1138	"ABCD4"	"ABCD4"	chr14	-	74292747	74293248	74292747	74292869	74293153	74293248
1142	"CLK1"	"CLK1"	chr2	-	200859679	200861466	200859679	200859746	200861237	200861466
1143	"CLK1"	"CLK1"	chr2	-	200859679	200861466	200859679	200859747	200861237	200861466
1144	"CEP128"	"CEP128"	chr14	-	80830164	80831294	80830164	80830283	80831142	80831294
1152	"CABIN1"	"CABIN1"	chr22	+	24171712	24171995	24171712	24171719	24171721	24171995
1168	"TPM1"	"TPM1"	chr15	+	63061197	63062277	63061197	63061273	63062214	63062277
1175	"TRABD"	"TRABD"	chr22	+	50197822	50198186	50197822	50197995	50198074	50198186
1179	"PHB2"	"PHB2"	chr12	-	6967675	6968021	6967675	6967779	6967891	6968021
1189	"DSN1"	"DSN1"	chr20	-	36770872	36771193	36770872	36770974	36771114	36771193
1190	"DSN1"	"DSN1"	chr20	-	36770872	36771473	36770872	36770977	36771424	36771473
1191	"DSN1"	"DSN1"	chr20	-	36770872	36771473	36770872	36771024	36771424	36771473
1192	"DSN1"	"DSN1"	chr20	-	36770872	36771473	36770872	36771193	36771424	36771473
1193	"ZC3H18"	"ZC3H18"	chr16	+	88622196	88623344	88622196	88622388	88623218	88623344
1196	"CDCA3"	"CDCA3"	chr12	-	6849322	6849858	6849322	6849413	6849564	6849858
1197	"CDCA3"	"CDCA3"	chr12	-	6849322	6849858	6849322	6849429	6849564	6849858
1204	"SGK494"	"SGK494"	chr17	-	28611392	28611656	28611392	28611481	28611566	28611656
1205	"RAB3IP"	"RAB3IP"	chr12	+	69812777	69813033	69812777	69812877	69812963	69813033
1218	"ABCC3"	"ABCC3"	chr17	+	50677743	50678219	50677743	50677943	50678092	50678219
1227	"BABAM1"	"BABAM1"	chr19	+	17268793	17269091	17268793	17268938	17269041	17269091
1230	"TBRG4"	"TBRG4"	chr7	-	45108826	45109287	45108826	45109083	45109222	45109287
1231	"TBC1D20"	"TBC1D20"	chr20	-	441587	442043	441587	441689	441856	442043
1233	"EFTUD2"	"EFTUD2"	chr17	-	44859904	44860543	44859904	44860045	44860431	44860543
1234	"NCK1"	"NCK1"	chr3	+	136945582	136946295	136945582	136945752	136946151	136946295
1238	"SYNE4"	"SYNE4"	chr19	-	36005332	36006671	36005332	36005437	36006422	36006671
1239	"SYNE4"	"SYNE4"	chr19	-	36005332	36006671	36005332	36005437	36006601	36006671
1249	"EGLN2"	"EGLN2"	chr19	+	40807808	40808432	40807808	40807913	40808160	40808432
1267	"RP11-864I4.1"	"RP11-864I4.1"	chr11	-	62572583	62574908	62572583	62572742	62574676	62574908
1290	"CIRBP"	"CIRBP"	chr19	+	1270927	1271467	1270927	1271036	1271139	1271467
1292	"CIRBP"	"CIRBP"	chr19	+	1270927	1271467	1270927	1271036	1271328	1271467
1303	"TCF25"	"TCF25"	chr16	+	89904117	89905096	89904117	89904205	89904937	89905096
1310	"CLK3"	"CLK3"	chr15	+	74622119	74622560	74622119	74622216	74622493	74622560
1312	"HERPUD1"	"HERPUD1"	chr16	+	56939894	56940245	56939894	56940088	56940176	56940245
1313	"MEGF6"	"MEGF6"	chr1	-	3494370	3494741	3494370	3494499	3494612	3494741
1314	"HSPBP1"	"HSPBP1"	chr19	-	55279398	55279856	55279398	55279702	55279806	55279856
1327	"PTPN9"	"PTPN9"	chr15	-	75578713	75579289	75578713	75578752	75578827	75579289
1345	"PDLIM2"	"PDLIM2"	chr8	+	22585016	22585162	22585016	22585088	22585089	22585162
1352	"GAPVD1"	"GAPVD1"	chr9	+	125331925	125332060	125331925	125331972	125331973	125332060
1388	"NAGS"	"NAGS"	chr17	+	44006528	44007494	44006528	44006709	44007322	44007494
1398	"NDUFS7"	"NDUFS7"	chr19	+	1388524	1388938	1388524	1388593	1388742	1388938
1399	"NDUFS7"	"NDUFS7"	chr19	+	1388524	1388938	1388524	1388593	1388832	1388938
1400	"NDUFS7"	"NDUFS7"	chr19	+	1388832	1391050	1388832	1388938	1390870	1391050
1401	"NDUFS7"	"NDUFS7"	chr19	+	1390870	1391165	1390870	1391050	1391118	1391165
1407	"WWC1"	"WWC1"	chr5	+	168467839	168467888	168467839	168467878	168467879	168467888
1408	"LCN2"	"LCN2"	chr9	+	128153099	128153453	128153099	128153126	128153310	128153453
1412	"CCDC28A"	"CCDC28A"	chr6	+	138776078	138776278	138776078	138776196	138776198	138776278
1422	"MAN2B1"	"MAN2B1"	chr19	-	12655693	12656687	12655693	12655862	12656570	12656687
1423	"MAN2B1"	"MAN2B1"	chr19	-	12655693	12656687	12655693	12655879	12656570	12656687
1446	"JMJD7-PLA2G4B"	"JMJD7-PLA2G4B"	chr15	+	41837067	41840230	41837067	41837374	41840024	41840230
1448	"JMJD7-PLA2G4B"	"JMJD7-PLA2G4B"	chr15	+	41845202	41845775	41845202	41845320	41845637	41845775
1449	"JMJD7-PLA2G4B"	"JMJD7-PLA2G4B"	chr15	+	41845942	41846382	41845942	41846047	41846202	41846382
1452	"PLXNB2"	"PLXNB2"	chr22	-	50277852	50278013	50277852	50277959	50277960	50278013
1453	"PLXNB2"	"PLXNB2"	chr22	-	50277852	50278013	50277852	50277964	50277966	50278013
1457	"PLXNB2"	"PLXNB2"	chr22	-	50278854	50279011	50278854	50278881	50278882	50279011
1470	"MSH2"	"MSH2"	chr2	+	47416295	47416429	47416295	47416370	47416372	47416429
1471	"MSH2"	"MSH2"	chr2	+	47429741	47429941	47429741	47429802	47429803	47429941
1472	"MSH2"	"MSH2"	chr2	+	47463030	47463154	47463030	47463090	47463092	47463154
1473	"MSH2"	"MSH2"	chr2	+	47466657	47466808	47466657	47466734	47466736	47466808
1476	"ZMYM5"	"ZMYM5"	chr13	-	19851354	19852190	19851354	19851448	19851688	19852190
1483	"GCDH"	"GCDH"	chr19	+	12891159	12891395	12891159	12891202	12891270	12891395
1486	"GCDH"	"GCDH"	chr19	+	12897302	12897863	12897302	12897428	12897702	12897863
1488	"ARHGAP26"	"ARHGAP26"	chr5	+	143207197	143207473	143207197	143207308	143207443	143207473
1492	"CIZ1"	"CIZ1"	chr9	-	128178708	128179415	128178708	128178904	128178988	128179415
1493	"CIZ1"	"CIZ1"	chr9	-	128178708	128179415	128178708	128178904	128179072	128179415
1494	"CIZ1"	"CIZ1"	chr9	-	128178708	128179415	128178708	128178904	128179243	128179415
1501	"CYBA"	"CYBA"	chr16	-	88646115	88646838	88646115	88646197	88646754	88646838
1509	"C3orf35"	"C3orf35"	chr3	+	37417018	37418101	37417018	37417142	37417252	37418101
1512	"ZNF213-AS1"	"ZNF213-AS1"	chr16	-	3129247	3129653	3129247	3129310	3129460	3129653
1523	"SSFA2"	"SSFA2"	chr2	+	181915215	181918675	181915215	181916427	181918597	181918675
1524	"SSFA2"	"SSFA2"	chr2	+	181915215	181918675	181915215	181917005	181918597	181918675
1530	"GPAT2"	"GPAT2"	chr2	-	96024772	96025603	96024772	96024843	96025484	96025603
1542	"IDH3B"	"IDH3B"	chr20	-	2658394	2658837	2658394	2658522	2658637	2658837
1543	"IDH3B"	"IDH3B"	chr20	-	2658394	2658837	2658394	2658522	2658758	2658837
1546	"IDH3B"	"IDH3B"	chr20	-	2660456	2660829	2660456	2660590	2660696	2660829
1567	"OGT"	"OGT"	chrX	+	71544566	71548023	71544566	71544635	71547906	71548023
1568	"HDAC3"	"HDAC3"	chr5	-	141628113	141628639	141628113	141628187	141628558	141628639
1592	"MAF1"	"MAF1"	chr8	+	144106342	144106674	144106342	144106464	144106554	144106674
1594	"PYCR1"	"PYCR1"	chr17	-	81936747	81937257	81936747	81936861	81937227	81937257
1598	"TXNRD2"	"TXNRD2"	chr22	-	19875521	19877234	19875521	19875807	19877039	19877234
1599	"TXNRD2"	"TXNRD2"	chr22	-	19875521	19877234	19875521	19875807	19877108	19877234
1603	"IFI30"	"IFI30"	chr19	+	18177139	18177764	18177139	18177292	18177710	18177764
1611	"SLC7A6"	"SLC7A6"	chr16	+	68274690	68275249	68274690	68274876	68275126	68275249
1616	"NAGK"	"NAGK"	chr2	+	71072640	71073594	71072640	71072751	71072825	71073594
1617	"NAGK"	"NAGK"	chr2	+	71072640	71073594	71072640	71072751	71073481	71073594
1622	"DHX38"	"DHX38"	chr16	+	72098926	72099280	72098926	72099045	72099203	72099280
1626	"MRPL55"	"MRPL55"	chr1	-	228108436	228109021	228108436	228108474	228108954	228109021
1631	"WDR90"	"WDR90"	chr16	+	653745	655147	653745	653803	655028	655147
1646	"PRMT2"	"PRMT2"	chr21	+	46648457	46648619	46648457	46648538	46648539	46648619
1650	"P4HTM"	"P4HTM"	chr3	+	49004860	49005867	49004860	49005170	49005717	49005867
1651	"P4HTM"	"P4HTM"	chr3	+	49004860	49005867	49004860	49005046	49005776	49005867
1675	"CCDC90B"	"CCDC90B"	chr11	-	83273792	83273992	83273792	83273864	83273950	83273992
1682	"TMEM256-PLSCR3"	"TMEM256-PLSCR3"	chr17	-	7393600	7394159	7393600	7393836	7394103	7394159
1700	"DKC1"	"DKC1"	chrX	+	154774601	154775273	154774601	154774705	154775194	154775273
1705	"WBP1"	"WBP1"	chr2	+	74459437	74459745	74459437	74459552	74459642	74459745
1706	"WBP1"	"WBP1"	chr2	+	74459437	74459745	74459437	74459562	74459642	74459745
1712	"NT5C"	"NT5C"	chr17	-	75130964	75131281	75130964	75131081	75131180	75131281
1713	"NT5C"	"NT5C"	chr17	-	75130964	75131281	75130964	75131105	75131180	75131281
1733	"LRCH4"	"LRCH4"	chr7	-	100576693	100577005	100576693	100576777	100576901	100577005
1748	"MAP7D1"	"MAP7D1"	chr1	+	36176198	36176581	36176198	36176321	36176417	36176581
1752	"LARP1B"	"LARP1B"	chr4	+	128107138	128108901	128107138	128107313	128107882	128108901
1759	"CALM3"	"CALM3"	chr19	+	46608481	46608981	46608481	46608588	46608845	46608981
